trial_type,trial_index,time_elapsed,internal_node_id,interactions,blur_events,focus_events,fullscreenenter_events,fullscreenexit_events,success,rt,stimulus,key_press,prompt,subject_id,participant_id,age,gender,button_pressed,next_reward,animation_sequence,responses,planet
instruc_goal,11,112912,0.0-7.0-1.0,"""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""16734""
""fullscreenenter"",""1"",""17723""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""1"",""16734""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""17723""
","
",,16021.8,"<p> As a space explorer, you’ll visit different planets to dig for space treasure, these pink gems.</p> <p> The more treasure you dig up, the more bonus money you’ll win! </p><br><br><p><img src='run_exp/static/images/task_images/pink_gem.jpg' height='300' width='auto'></p>",,,,,,,1,,,,
html-keyboard-response,12,114856,0.0-7.0-2.0,"""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""16734""
""fullscreenenter"",""1"",""17723""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""1"",""16734""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""17723""
","
",,1942.7,"<p> As a space explorer, you’ll visit different planets to dig for space treasure, these pink gems.</p> <p> The more treasure you dig up, the more bonus money you’ll win! </p><br><br><p><img src='run_exp/static/images/task_images/pink_gem.jpg' height='300' width='auto'></p><button class=""jspsych-html-btn-unchosen""><img src=""run_exp/static/images/task_images/planet-01.jpg"" height=""50""></button><button class=""jspsych-html-btn-chosen""><img src=""run_exp/static/images/task_images/planet-02.jpg"" height=""50""></button><p><b>[press the space bar to lock in your answer]<b><br></p>",32,,,,,,,,,,
instruc_dig,13,130845,0.0-8.0-0.0,"""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""16734""
""fullscreenenter"",""1"",""17723""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""1"",""16734""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""17723""
","
",,null,run_exp/static/audio/clip_4_dig.m4a,null,,,,,,,100,,,
instruc_dig_try,14,131231,0.0-8.0-1.0,"""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""16734""
""fullscreenenter"",""1"",""17723""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""1"",""16734""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""17723""
","
",,385.5,"<p> When you’ve arrived at a new planet, you will dig once. </p> <p>Then, you get to decide if you want to stay on the planet and dig again or travel to a new planet and dig there.</p> <p> To stay and dig, press the letter <strong>‘A’</strong> on your keyboard. Try pressing it now! </p><p><img src='run_exp/static/images/task_images/land.jpg'  height='700' width='auto'></p>",65,"<p> When you’ve arrived at a new planet, you will dig once. </p> <p>Then, you get to decide if you want to stay on the planet and dig again or travel to a new planet and dig there.</p> <p> To stay and dig, press the letter <strong>‘A’</strong> on your keyboard. Try pressing it now! </p><p><img src='run_exp/static/images/task_images/land.jpg'  height='700' width='auto'></p>",,,,,,100,,,
dig_prac,15,133247,0.0-8.0-2.0,"""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""16734""
""fullscreenenter"",""1"",""17723""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""1"",""16734""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""17723""
","
",,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":0.20000004768371582},{""stimulus"":""run_exp/static/images/task_images/land.jpg"",""time"":667.9000000953674},{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":1335.9000000953674}]",[],
instruc_travel,16,169485,0.0-8.0-3.0,"""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""16734""
""fullscreenenter"",""1"",""17723""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""1"",""16734""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""17723""
","
",,null,run_exp/static/audio/clip_5_travel.m4a,null,"<p>Every time you dig up gems, there are less gems on the planet, so the more you dig on a planet the fewer gems you’ll get with each dig.</p><p>When gems are running low, you may want to travel to a new planet. </p> <p>  Planets are very far apart in this galaxy, so it will take some time to travel between them. </p> <br><p>There are lots and lots of planets for you to visit, so you won’t be able to return to any planets you’ve seen before. </p><br><p>To leave this planet and travel to a new one, press the letter <strong>‘L’</strong> on your keyboard. Try pressing it now! </p><p><img src='run_exp/static/images/task_images/rocket-01.jpg'  height='600' width='auto'></p>",,,,,,,,,
instruc_travel_try,17,169744,0.0-8.0-4.0,"""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""16734""
""fullscreenenter"",""1"",""17723""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""1"",""16734""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""17723""
","
",,257.9000001,"<p>Every time you dig up gems, there are less gems on the planet, so the more you dig on a planet the fewer gems you’ll get with each dig.</p><p>When gems are running low, you may want to travel to a new planet. </p> <p>  Planets are very far apart in this galaxy, so it will take some time to travel between them. </p> <br><p>There are lots and lots of planets for you to visit, so you won’t be able to return to any planets you’ve seen before. </p><br><p>To leave this planet and travel to a new one, press the letter <strong>‘L’</strong> on your keyboard. Try pressing it now! </p><p><img src='run_exp/static/images/task_images/rocket-01.jpg'  height='600' width='auto'></p>",76,"<p>Every time you dig up gems, there are less gems on the planet, so the more you dig on a planet the fewer gems you’ll get with each dig.</p><p>When gems are running low, you may want to travel to a new planet. </p> <p>  Planets are very far apart in this galaxy, so it will take some time to travel between them. </p> <br><p>There are lots and lots of planets for you to visit, so you won’t be able to return to any planets you’ve seen before. </p><br><p>To leave this planet and travel to a new one, press the letter <strong>‘L’</strong> on your keyboard. Try pressing it now! </p><p><img src='run_exp/static/images/task_images/rocket-01.jpg'  height='600' width='auto'></p>",,,,,,,,,
travel_prac,18,179745,0.0-8.0-5.0,"""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""16734""
""fullscreenenter"",""1"",""17723""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""1"",""16734""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""17723""
","
",,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/rocket-01.jpg"",""time"":0.19999980926513672},{""stimulus"":""run_exp/static/images/task_images/rocket-02.jpg"",""time"":1112.3999998569489},{""stimulus"":""run_exp/static/images/task_images/rocket-03.jpg"",""time"":2224.0999999046326},{""stimulus"":""run_exp/static/images/task_images/rocket-04.jpg"",""time"":3334},{""stimulus"":""run_exp/static/images/task_images/rocket-05.jpg"",""time"":4446.099999904633},{""stimulus"":""run_exp/static/images/task_images/rocket-06.jpg"",""time"":5556.199999809265},{""stimulus"":""run_exp/static/images/task_images/rocket-07.jpg"",""time"":6667.5},{""stimulus"":""run_exp/static/images/task_images/rocket-08.jpg"",""time"":7778.799999952316},{""stimulus"":""run_exp/static/images/task_images/rocket-09.jpg"",""time"":8889.799999952316}]",[],0
instruc_alien_greet,19,206930,0.0-8.0-6.0,"""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""16734""
""fullscreenenter"",""1"",""17723""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""1"",""16734""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""17723""
","
",,null,run_exp/static/audio/clip_6_alien.m4a,null,"<p>When you arrive at a new planet, the alien who owns the treasure mine on that planet will greet you!</p><p>The better an alien takes care of their mine the easier it is to dig for gems. Some aliens take better care of their mine than others. So, you won’t get exactly the same amount of gems on each planet.</p><p>What the alien looks like does not tell you anything about how many gems there are on the planet.</p><br><p><img src=""run_exp/static/images/task_images/aliens/instructions_aliens/planet/alien_planet-1.jpg""  height=""600"" width=""auto""></p>",,,,,,,,,
instruc_alien_greet,20,211766,0.0-8.0-7.0,"""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""16734""
""fullscreenenter"",""1"",""17723""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""1"",""16734""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""17723""
","
",,4834.8,"<p>When you arrive at a new planet, the alien who owns the treasure mine on that planet will greet you!</p><p>The better an alien takes care of their mine the easier it is to dig for gems. Some aliens take better care of their mine than others. So, you won’t get exactly the same amount of gems on each planet.</p><p>What the alien looks like does not tell you anything about how many gems there are on the planet.</p><br><p><img src=""run_exp/static/images/task_images/aliens/instructions_aliens/planet/alien_planet-1.jpg""  height=""600"" width=""auto""></p>",,,,,,,1,,,,
html-keyboard-response,21,213832,0.0-8.0-8.0,"""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""16734""
""fullscreenenter"",""1"",""17723""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""1"",""16734""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""17723""
","
",,2065,"<p>When you arrive at a new planet, the alien who owns the treasure mine on that planet will greet you!</p><p>The better an alien takes care of their mine the easier it is to dig for gems. Some aliens take better care of their mine than others. So, you won’t get exactly the same amount of gems on each planet.</p><p>What the alien looks like does not tell you anything about how many gems there are on the planet.</p><br><p><img src=""run_exp/static/images/task_images/aliens/instructions_aliens/planet/alien_planet-1.jpg""  height=""600"" width=""auto""></p><button class=""jspsych-html-btn-unchosen""><img src=""run_exp/static/images/task_images/planet-01.jpg"" height=""50""></button><button class=""jspsych-html-btn-chosen""><img src=""run_exp/static/images/task_images/planet-02.jpg"" height=""50""></button><p><b>[press the space bar to lock in your answer]<b><br></p>",32,,,,,,,,,,
time_out,22,224930,0.0-9.0-0.0,"""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""16734""
""fullscreenenter"",""1"",""17723""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""1"",""16734""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""17723""
","
",,null,run_exp/static/audio/clip_7_timeout.m4a,null,"<p>If you don't make your choice fast enough, you’ll have to wait a few seconds before you can make another one.</p><p>You can’t dig for more gems or travel to new planets. You just have to sit and wait.</p><br><p><img src='run_exp/static/images/task_images/time_out.jpg'  height='600' width='auto'></p>",,,,,,,,,
time_out,23,226450,0.0-9.0-1.0,"""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""16734""
""fullscreenenter"",""1"",""17723""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""1"",""16734""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""17723""
","
",,1519.1,"<p>If you don't make your choice fast enough, you’ll have to wait a few seconds before you can make another one.</p><p>You can’t dig for more gems or travel to new planets. You just have to sit and wait.</p><br><p><img src='run_exp/static/images/task_images/time_out.jpg'  height='600' width='auto'></p>",,,,,,,1,,,,
html-keyboard-response,24,229032,0.0-9.0-2.0,"""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""16734""
""fullscreenenter"",""1"",""17723""
""blur"",""25"",""233297""
""focus"",""25"",""233806""
""focus"",""25"",""233806""
""blur"",""25"",""233836""
""focus"",""25"",""233870""
""blur"",""25"",""233900""
""focus"",""25"",""234182""
""focus"",""25"",""234182""
","""event"",""trial"",""time""
""blur"",""0"",""0""
""blur"",""25"",""233297""
""blur"",""25"",""233836""
""blur"",""25"",""233900""
","""event"",""trial"",""time""
""focus"",""1"",""16734""
""focus"",""25"",""233806""
""focus"",""25"",""233806""
""focus"",""25"",""233870""
""focus"",""25"",""234182""
""focus"",""25"",""234182""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""17723""
","
",,2581.1,"<p>If you don't make your choice fast enough, you’ll have to wait a few seconds before you can make another one.</p><p>You can’t dig for more gems or travel to new planets. You just have to sit and wait.</p><br><p><img src='run_exp/static/images/task_images/time_out.jpg'  height='600' width='auto'></p><button class=""jspsych-html-btn-unchosen""><img src=""run_exp/static/images/task_images/planet-01.jpg"" height=""50""></button><button class=""jspsych-html-btn-chosen""><img src=""run_exp/static/images/task_images/planet-02.jpg"" height=""50""></button><p><b>[press the space bar to lock in your answer]<b><br></p>",32,,,,,,,,,,
instruc_break,25,244710,0.0-10.0-0.0,"""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""16734""
""fullscreenenter"",""1"",""17723""
""blur"",""25"",""233297""
""focus"",""25"",""233806""
""focus"",""25"",""233806""
""blur"",""25"",""233836""
""focus"",""25"",""233870""
""blur"",""25"",""233900""
""focus"",""25"",""234182""
""focus"",""25"",""234182""
","""event"",""trial"",""time""
""blur"",""0"",""0""
""blur"",""25"",""233297""
""blur"",""25"",""233836""
""blur"",""25"",""233900""
","""event"",""trial"",""time""
""focus"",""1"",""16734""
""focus"",""25"",""233806""
""focus"",""25"",""233806""
""focus"",""25"",""233870""
""focus"",""25"",""234182""
""focus"",""25"",""234182""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""17723""
","
",,null,run_exp/static/audio/clip_8_break.m4a,null,"<p> After digging and traveling for a while, you’ll be able to take a break at home base. </p><p>The game will last 20 minutes no matter what.</p><p>You will visit home base every 5 minutes, so, you will visit home base three times during the game.</p><br><p><img src='run_exp/static/images/task_images/home_base.jpg' height='600' width='auto'></p>",,,,,,,,,
instruc_break,26,250648,0.0-10.0-1.0,"""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""16734""
""fullscreenenter"",""1"",""17723""
""blur"",""25"",""233297""
""focus"",""25"",""233806""
""focus"",""25"",""233806""
""blur"",""25"",""233836""
""focus"",""25"",""233870""
""blur"",""25"",""233900""
""focus"",""25"",""234182""
""focus"",""25"",""234182""
","""event"",""trial"",""time""
""blur"",""0"",""0""
""blur"",""25"",""233297""
""blur"",""25"",""233836""
""blur"",""25"",""233900""
","""event"",""trial"",""time""
""focus"",""1"",""16734""
""focus"",""25"",""233806""
""focus"",""25"",""233806""
""focus"",""25"",""233870""
""focus"",""25"",""234182""
""focus"",""25"",""234182""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""17723""
","
",,5936.7,"<p> After digging and traveling for a while, you’ll be able to take a break at home base. </p><p>The game will last 20 minutes no matter what.</p><p>You will visit home base every 5 minutes, so, you will visit home base three times during the game.</p><br><p><img src='run_exp/static/images/task_images/home_base.jpg' height='600' width='auto'></p>",,,,,,,0,,,,
html-keyboard-response,27,258000,0.0-10.0-2.0,"""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""16734""
""fullscreenenter"",""1"",""17723""
""blur"",""25"",""233297""
""focus"",""25"",""233806""
""focus"",""25"",""233806""
""blur"",""25"",""233836""
""focus"",""25"",""233870""
""blur"",""25"",""233900""
""focus"",""25"",""234182""
""focus"",""25"",""234182""
""blur"",""28"",""271052""
""fullscreenexit"",""28"",""271052""
""focus"",""28"",""271055""
""blur"",""28"",""334982""
""focus"",""28"",""348242""
""blur"",""28"",""359332""
","""event"",""trial"",""time""
""blur"",""0"",""0""
""blur"",""25"",""233297""
""blur"",""25"",""233836""
""blur"",""25"",""233900""
""blur"",""28"",""271052""
""blur"",""28"",""334982""
""blur"",""28"",""359332""
","""event"",""trial"",""time""
""focus"",""1"",""16734""
""focus"",""25"",""233806""
""focus"",""25"",""233806""
""focus"",""25"",""233870""
""focus"",""25"",""234182""
""focus"",""25"",""234182""
""focus"",""28"",""271055""
""focus"",""28"",""348242""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""17723""
","""event"",""trial"",""time""
""fullscreenexit"",""28"",""271052""
",,7350.8,"<p> After digging and traveling for a while, you’ll be able to take a break at home base. </p><p>The game will last 20 minutes no matter what.</p><p>You will visit home base every 5 minutes, so, you will visit home base three times during the game.</p><br><p><img src='run_exp/static/images/task_images/home_base.jpg' height='600' width='auto'></p><button class=""jspsych-html-btn-chosen""><img src=""run_exp/static/images/task_images/planet-01.jpg"" height=""50""></button><button class=""jspsych-html-btn-unchosen""><img src=""run_exp/static/images/task_images/planet-02.jpg"" height=""50""></button><p><b>[press the space bar to lock in your answer]<b><br></p>",32,,,,,,,,,,
