trial_type,trial_index,time_elapsed,internal_node_id,success,rt,stimulus,key_press,prompt,subject_id,age,gender,button_pressed,next_reward,animation_sequence,responses,planet,curr_prac_trial,n_prac_rounds,alien,aliens,reward_received,decay_rate_actual,decay_rate_exp,time_in_block,block_num,prt,last_trial_on_planet,bonus,num_failures
instruc_travel_try,13,121902,0.0-7.0-4.0,,2844.73,"<p>Every time you dig up gems, there are less gems on the planet, so the more you dig on a planet the fewer gems you’ll get with each dig.</p><p>When gems are running low, you may want to travel to a new planet. </p> <p>  Planets are very far apart in this galaxy, so it will take some time to travel between them. </p> <br><p>There are lots and lots of planets for you to visit, so you won’t be able to return to any planets you’ve seen before. </p><br><p>To leave this planet and travel to a new one, press the letter <strong>‘L’</strong> on your keyboard. Try pressing it now! </p><p><img src='run_exp/static/images/task_images/rocket-01.jpg'  height='600' width='auto'></p>",76,"<p>Every time you dig up gems, there are less gems on the planet, so the more you dig on a planet the fewer gems you’ll get with each dig.</p><p>When gems are running low, you may want to travel to a new planet. </p> <p>  Planets are very far apart in this galaxy, so it will take some time to travel between them. </p> <br><p>There are lots and lots of planets for you to visit, so you won’t be able to return to any planets you’ve seen before. </p><br><p>To leave this planet and travel to a new one, press the letter <strong>‘L’</strong> on your keyboard. Try pressing it now! </p><p><img src='run_exp/static/images/task_images/rocket-01.jpg'  height='600' width='auto'></p>",,,,,,,,,,,,,,,,,,,,,
travel_prac,14,131905,0.0-7.0-5.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/rocket-01.jpg"",""time"":0.35500002559274435},{""stimulus"":""run_exp/static/images/task_images/rocket-02.jpg"",""time"":1113.755000056699},{""stimulus"":""run_exp/static/images/task_images/rocket-03.jpg"",""time"":2224.694999982603},{""stimulus"":""run_exp/static/images/task_images/rocket-04.jpg"",""time"":3335.3099999949336},{""stimulus"":""run_exp/static/images/task_images/rocket-05.jpg"",""time"":4446.63500005845},{""stimulus"":""run_exp/static/images/task_images/rocket-06.jpg"",""time"":5557.5400000670925},{""stimulus"":""run_exp/static/images/task_images/rocket-07.jpg"",""time"":6668.535000062548},{""stimulus"":""run_exp/static/images/task_images/rocket-08.jpg"",""time"":7778.630000073463},{""stimulus"":""run_exp/static/images/task_images/rocket-09.jpg"",""time"":8890.125000034459}]",[],0,,,,,,,,,,,,,
instruc_alien_greet,15,159112,0.0-7.0-6.0,,null,run_exp/static/audio/clip_6_alien.m4a,null,"<p>When you arrive at a new planet, the alien who owns the treasure mine on that planet will greet you!</p><p>The better an alien takes care of their mine the easier it is to dig for gems. Some aliens take better care of their mine than others. So, you won’t get exactly the same amount of gems on each planet.</p><p>What the alien looks like does not tell you anything about how many gems there are on the planet.</p><br><p><img src=""run_exp/static/images/task_images/aliens/instructions_aliens/planet/alien_planet-1.jpg""  height=""600"" width=""auto""></p>",,,,,,,,,,,,,,,,,,,,,
instruc_alien_greet,16,162766,0.0-7.0-7.0,,3649.235,"<p>When you arrive at a new planet, the alien who owns the treasure mine on that planet will greet you!</p><p>The better an alien takes care of their mine the easier it is to dig for gems. Some aliens take better care of their mine than others. So, you won’t get exactly the same amount of gems on each planet.</p><p>What the alien looks like does not tell you anything about how many gems there are on the planet.</p><br><p><img src=""run_exp/static/images/task_images/aliens/instructions_aliens/planet/alien_planet-1.jpg""  height=""600"" width=""auto""></p>",,,,,,1,,,,,,,,,,,,,,,,,
html-keyboard-response,17,163925,0.0-7.0-8.0,,1157.43,"<p>When you arrive at a new planet, the alien who owns the treasure mine on that planet will greet you!</p><p>The better an alien takes care of their mine the easier it is to dig for gems. Some aliens take better care of their mine than others. So, you won’t get exactly the same amount of gems on each planet.</p><p>What the alien looks like does not tell you anything about how many gems there are on the planet.</p><br><p><img src=""run_exp/static/images/task_images/aliens/instructions_aliens/planet/alien_planet-1.jpg""  height=""600"" width=""auto""></p><button class=""jspsych-html-btn-unchosen""><img src=""run_exp/static/images/task_images/planet-01.jpg"" height=""50""></button><button class=""jspsych-html-btn-chosen""><img src=""run_exp/static/images/task_images/planet-02.jpg"" height=""50""></button><p><b>[press the space bar to lock in your answer]<b><br></p>",32,,,,,,,,,,,,,,,,,,,,,,
time_out,18,175032,0.0-8.0-0.0,,null,run_exp/static/audio/clip_7_timeout.m4a,null,"<p>If you don't make your choice fast enough, you’ll have to wait a few seconds before you can make another one.</p><p>You can’t dig for more gems or travel to new planets. You just have to sit and wait.</p><br><p><img src='run_exp/static/images/task_images/time_out.jpg'  height='600' width='auto'></p>",,,,,,,,,,,,,,,,,,,,,
time_out,19,178230,0.0-8.0-1.0,,3193.24,"<p>If you don't make your choice fast enough, you’ll have to wait a few seconds before you can make another one.</p><p>You can’t dig for more gems or travel to new planets. You just have to sit and wait.</p><br><p><img src='run_exp/static/images/task_images/time_out.jpg'  height='600' width='auto'></p>",,,,,,1,,,,,,,,,,,,,,,,,
html-keyboard-response,20,179525,0.0-8.0-2.0,,1293.685,"<p>If you don't make your choice fast enough, you’ll have to wait a few seconds before you can make another one.</p><p>You can’t dig for more gems or travel to new planets. You just have to sit and wait.</p><br><p><img src='run_exp/static/images/task_images/time_out.jpg'  height='600' width='auto'></p><button class=""jspsych-html-btn-unchosen""><img src=""run_exp/static/images/task_images/planet-01.jpg"" height=""50""></button><button class=""jspsych-html-btn-chosen""><img src=""run_exp/static/images/task_images/planet-02.jpg"" height=""50""></button><p><b>[press the space bar to lock in your answer]<b><br></p>",32,,,,,,,,,,,,,,,,,,,,,,
instruc_break,21,195212,0.0-9.0-0.0,,null,run_exp/static/audio/clip_8_break.m4a,null,"<p> After digging and traveling for a while, you’ll be able to take a break at home base. </p><p>The game will last 20 minutes no matter what.</p><p>You will visit home base every 5 minutes, so, you will visit home base three times during the game.</p><br><p><img src='run_exp/static/images/task_images/home_base.jpg' height='600' width='auto'></p>",,,,,,,,,,,,,,,,,,,,,
instruc_break,22,201158,0.0-9.0-1.0,,5942.715,"<p> After digging and traveling for a while, you’ll be able to take a break at home base. </p><p>The game will last 20 minutes no matter what.</p><p>You will visit home base every 5 minutes, so, you will visit home base three times during the game.</p><br><p><img src='run_exp/static/images/task_images/home_base.jpg' height='600' width='auto'></p>",,,,,,1,,,,,,,,,,,,,,,,,
html-keyboard-response,23,201613,0.0-9.0-2.0,,453.32,"<p> After digging and traveling for a while, you’ll be able to take a break at home base. </p><p>The game will last 20 minutes no matter what.</p><p>You will visit home base every 5 minutes, so, you will visit home base three times during the game.</p><br><p><img src='run_exp/static/images/task_images/home_base.jpg' height='600' width='auto'></p><button class=""jspsych-html-btn-unchosen""><img src=""run_exp/static/images/task_images/planet-01.jpg"" height=""50""></button><button class=""jspsych-html-btn-chosen""><img src=""run_exp/static/images/task_images/planet-02.jpg"" height=""50""></button><p><b>[press the space bar to lock in your answer]<b><br></p>",32,,,,,,,,,,,,,,,,,,,,,,
instruc_prac_game,24,211752,0.0-10.0-0.0,,null,run_exp/static/audio/clip_9_practice.m4a,null,"<p> Are you ready to play a practice game? </p> <p>In this practice game, you'll be digging up barrels of gems. But, in the real game, you'll be digging up the gems themselves. </p>",,,,,,,,,,,,,,,,,,,,,
html-button-response,25,213629,0.0-10.0-1.0,,1874.785,"<p> Are you ready to play a practice game? </p> <p>In this practice game, you'll be digging up barrels of gems. But, in the real game, you'll be digging up the gems themselves. </p>",,,,,,0,,,,,,,,,,,,,,,,,
alien_welcome_prac,26,218635,0.0-11.0-0.0,,null,run_exp/static/images/task_images/aliens/practice_aliens/planet/alien_planet-5.jpg,null,,,,,,,,,,,,,,,,,,,,,,
land_prac,27,219139,0.0-11.0-1.0,,null,run_exp/static/images/task_images/land.jpg,null,,,,,,86,,,0,,,,,,,,,,,,,
dig_prac,28,221144,0.0-11.0-2.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":0.3599999472498894},{""stimulus"":""run_exp/static/images/task_images/land.jpg"",""time"":669.1750000463799},{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":1335.9499999787658}]",[],,,,,,,,,,,,,,
harvest_prac,29,222146,0.0-11.0-3.0,,null,run_exp/static/images/task_images/barrel_text.jpg,null,,,,,,,,,,,,,,,,,,,,,,
decision_prac,30,225149,0.0-11.0-4.0,,null,run_exp/static/images/task_images/land.jpg,null,,,,,,,,,,1,,,,,,,,,,,,
time_out,31,227156,0.0-12.0-0.0,,null,run_exp/static/images/task_images/time_out.jpg,null,,,,,,,,,,,,,,,,,,,,,,
decision_prac,32,227582,0.0-12.0-1.0,,423.53,run_exp/static/images/task_images/land.jpg,65,,,,,,,,,,2,,,,,,,,,,,,
dig_prac,33,229589,0.0-13.0-0.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":0.28499995823949575},{""stimulus"":""run_exp/static/images/task_images/land.jpg"",""time"":669.3199999863282},{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":1336.5299999713898}]",[],,,,,,,,,,,,,,
harvest_prac,34,230591,0.0-13.0-1.0,,null,run_exp/static/images/task_images/barrel_text.jpg,null,,,,,,,,,,,,,,,,,,,,,,
decision_prac,35,231014,0.0-13.0-2.0,,421.89,run_exp/static/images/task_images/land.jpg,65,,,,,,,,,,3,,,,,,,,,,,,
dig_prac,36,233022,0.0-14.0-0.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":0.2649999223649502},{""stimulus"":""run_exp/static/images/task_images/land.jpg"",""time"":668.7849999871105},{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":1335.7499999692664}]",[],,,,,,,,,,,,,,
harvest_prac,37,234025,0.0-14.0-1.0,,null,run_exp/static/images/task_images/barrel_text.jpg,null,,,,,,,,,,,,,,,,,,,,,,
decision_prac,38,234494,0.0-14.0-2.0,,467.4549999,run_exp/static/images/task_images/land.jpg,65,,,,,,,,,,4,,,,,,,,,,,,
dig_prac,39,236501,0.0-15.0-0.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":0.29500003438442945},{""stimulus"":""run_exp/static/images/task_images/land.jpg"",""time"":669.88499998115},{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":1336.5350000094622}]",[],,,,,,,,,,,,,,
harvest_prac,40,237504,0.0-15.0-1.0,,null,run_exp/static/images/task_images/barrel_text.jpg,null,,,,,,,,,,,,,,,,,,,,,,
decision_prac,41,237853,0.0-15.0-2.0,,347.1,run_exp/static/images/task_images/land.jpg,65,,,,,,,,,,,1,,,,,,,,,,,
quiz_instruc,42,249311,0.0-16.0-0.0,,11451.935,run_exp/static/audio/clip_10_quiz.m4a,,,,,,0,,,,,,,,,,,,,,,,,
instruc_repeat,43,292101,0.0-16.0-1.0,,null,"<p> Are you ready to play a practice game? </p> <p>In this practice game, you'll be digging up barrels of gems. But, in the real game, you'll be digging up the gems themselves. </p>",null,"<p>In this game, your goal is to collect as many gems as you can. That’s how you will win bonus money. </p> <p>The entire game will last 20 minutes no matter how many gems you collect or how many planets you visit. </p><p>To stay on a planet and dig again, press the letter A on your keyboard. To leave for a new planet, press the letter L.</p><p>The more you dig on a planet, the fewer gems you’ll get with each dig which is why you might consider leaving for a new planet. </p><p>When you arrive at a new planet, you’ll be greeted by an alien. What the alien looks like does not tell you anything about how much treasure is on the planet. </p>",,,,,,,,,,,,,,,,,,,,,
instruc_repeat_continue,44,297885,0.0-16.0-2.0,,5781.54,"<p> Are you ready to play a practice game? </p> <p>In this practice game, you'll be digging up barrels of gems. But, in the real game, you'll be digging up the gems themselves. </p>",,,,,,0,,,,,,,,,,,,,,,,,
quiz_q_1_ask,45,306934,0.0-16.0-3.0,,9045.54,run_exp/static/audio/clip_11_q1_ask.m4a,,,,,,2,,,,,,,,,,,,,,,,,
quiz_q_1_fb_correct,46,310781,0.0-17.0-0.0,,null,run_exp/static/audio/clip_12_q1_corrrect.m4a,null,<p>That’s correct. You win extra money by collecting more gems.</p>,,,,,,,,,,,,,,,,,,,,,
quiz_q_2_ask,47,313910,0.0-17.0-1.0,,3125.73,run_exp/static/audio/clip_14_q2_ask.m4a,,,,,,1,,,,,,,,,,,,,,,,,
quiz_q_2_fb_correct,48,317920,0.0-18.0-0.0,,null,run_exp/static/audio/clip_15_q2_correct.m4a,null,<p>That’s correct. The experiment is 20 minutes no matter what.</p>,,,,,,,,,,,,,,,,,,,,,
quiz_q_3_ask,49,321365,0.0-18.0-1.0,,3442.255,run_exp/static/audio/clip_17_q3_ask.m4a,,,,,,1,,,,,,,,,,,,,,,,,
quiz_q_3_fb_correct,50,325361,0.0-19.0-0.0,,null,run_exp/static/audio/clip_18_q3_correct.m4a,null,<p> That’s correct. You press the letter L to travel to a new planet.</p>,,,,,,,,,,,,,,,,,,,,,
quiz_q_4_ask,51,328573,0.0-19.0-1.0,,3209.21,run_exp/static/audio/clip_20_q4_ask.m4a,,,,,,0,,,,,,,,,,,,,,,,,
quiz_q_4_fb_correct,52,333901,0.0-20.0-0.0,,null,run_exp/static/audio/clip_21_q4_correct.m4a,null,<p> That’s correct. The more you dig on a planet the fewer gems you’ll get with each dig. </p>,,,,,,,,,,,,,,,,,,,,,
quiz_q_5_ask,53,336621,0.0-20.0-1.0,,2716.685,run_exp/static/audio/clip_23_q5_ask.m4a,,,,,,1,,,,,,,,,,,,,,,,,
quiz_q_5_fb_correct,54,341641,0.0-21.0-0.0,,null,run_exp/static/audio/clip_24_q5_correct.m4a,null,<p> That’s correct. The alien tells you nothing about how much treasure is on the planet.</p>,,,,,,,,,,,,,,,,,,,,,
quiz_correct,55,345120,0.0-22.0-0.0,,null,run_exp/static/audio/clip_26_correct_quiz.m4a,null,,,,,,,,,,,,,,,,,,,,,,
quiz_correct_continue,56,346845,0.0-22.0-1.0,,1722.695,<p>Good job! You're now ready to move on to the real game!</p>,,,,,,0,,,,,,,,,,,,,,,,,
audio-keyboard-response,57,356980,0.0-22.0-2.0,,null,run_exp/static/audio/clip_28_real_game.m4a,null,,,,,,,,,,,,,,,,,,,,,,
instruc_begin_exp_contine,58,358412,0.0-22.0-3.0,,1428.26,"<p>Now that you know how  to dig for space treasure and travel to new planets,you can start exploring! </p><p>Do you want to go over the instructions again or get started with the real game?</p>",,,,,,1,,,,,,1,,,,,,,,,,,
alien_welcome,59,363417,0.0-23.0-0.0,,null,run_exp/static/images/task_images/aliens/old_aliens/planet/alien_planet-65.jpg,null,,,,,,,,,,,,65,"65,24,2,71,1,12,50,39,48,61,54,16,53,64,76,70,3,73,31,28,56,19,69,33,18,20,34",,,,,,,,,
land,60,363920,0.0-23.0-1.0,,null,run_exp/static/images/task_images/land.jpg,null,,,,,,89,,,1,,,,,,,,,,,,,
dig,61,365928,0.0-23.0-2.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":0.7100000511854887},{""stimulus"":""run_exp/static/images/task_images/land.jpg"",""time"":669.2000000039116},{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":1336.8949999567121}]",[],1,,,,,,,,,,,,,
harvest,62,366930,0.0-23.0-3.0,,null,run_exp/static/images/task_images/gems/89.jpg,null,,,,,,14,,,1,,,,,89,0.157330037,0.157303371,,,,,,
decision,63,367515,0.0-23.0-4.0,,582.455,run_exp/static/images/task_images/land.jpg,65,,,,,,14,,,1,,,,,,,,9101,1,0,FALSE,,
dig,64,369940,0.0-24.0-0.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":0.43000001460313797},{""stimulus"":""run_exp/static/images/task_images/land.jpg"",""time"":806.7149999551475},{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":1613.1250000325963}]",[],1,,,,,,,,,,,,,
harvest,65,370943,0.0-24.0-1.0,,null,run_exp/static/images/task_images/gems/14.jpg,null,,,,,,3,,,1,,,,,14,0.183255947,0.214285714,,,,,,
decision,66,371468,0.0-24.0-2.0,,520.6950001,run_exp/static/images/task_images/land.jpg,65,,,,,,3,,,1,,,,,,,,13054,1,1,FALSE,,
dig,67,373954,0.0-25.0-0.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":0.27000007685273886},{""stimulus"":""run_exp/static/images/task_images/land.jpg"",""time"":827.5950000388548},{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":1654.3499999679625}]",[],1,,,,,,,,,,,,,
harvest,68,374957,0.0-25.0-1.0,,null,run_exp/static/images/task_images/gems/3.jpg,null,,,,,,0,,,1,,,,,3,0.161099158,0,,,,,,
decision,69,375203,0.0-25.0-2.0,,243.355,run_exp/static/images/task_images/land.jpg,65,,,,,,0,,,1,,,,,,,,16790,1,2,FALSE,,
dig,70,377964,0.0-26.0-0.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":0.3100000321865082},{""stimulus"":""run_exp/static/images/task_images/land.jpg"",""time"":921.100000035949},{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":1838.400000007823}]",[],1,,,,,,,,,,,,,
harvest,71,378966,0.0-26.0-1.0,,null,run_exp/static/images/task_images/gems/0.jpg,null,,,,,,0,,,1,,,,,0,0.281839295,NaN,,,,,,
decision,72,380908,0.0-26.0-2.0,,1939.305,run_exp/static/images/task_images/land.jpg,76,,,,,,0,,,1,,,,,,,,22494,1,3,TRUE,,
travel,73,388970,0.0-27.0-0.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/rocket-01.jpg"",""time"":0.2899999963119626},{""stimulus"":""run_exp/static/images/task_images/rocket-02.jpg"",""time"":896.1350000463426},{""stimulus"":""run_exp/static/images/task_images/rocket-03.jpg"",""time"":1792.7050000289455},{""stimulus"":""run_exp/static/images/task_images/rocket-04.jpg"",""time"":2686.405000044033},{""stimulus"":""run_exp/static/images/task_images/rocket-05.jpg"",""time"":3582.1299999952316},{""stimulus"":""run_exp/static/images/task_images/rocket-06.jpg"",""time"":4477.745000040159},{""stimulus"":""run_exp/static/images/task_images/rocket-07.jpg"",""time"":5372.590000042692},{""stimulus"":""run_exp/static/images/task_images/rocket-08.jpg"",""time"":6267.460000002757},{""stimulus"":""run_exp/static/images/task_images/rocket-09.jpg"",""time"":7162.10499999579}]",[],1,,,,,,,,,,,,,
alien_welcome,74,393974,0.0-27.0-1.0,,null,run_exp/static/images/task_images/aliens/old_aliens/planet/alien_planet-24.jpg,null,,,,,,,,,,,,24,"65,24,2,71,1,12,50,39,48,61,54,16,53,64,76,70,3,73,31,28,56,19,69,33,18,20,34",,,,,,,,,
land,75,394476,0.0-27.0-2.0,,null,run_exp/static/images/task_images/land.jpg,null,,,,,,101,,,2,,,,,,,,,,,,,
dig,76,396481,0.0-27.0-3.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":0.39499998092651367},{""stimulus"":""run_exp/static/images/task_images/land.jpg"",""time"":668.5349999461323},{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":1336.8550000013784}]",[],2,,,,,,,,,,,,,
harvest,77,397484,0.0-27.0-4.0,,null,run_exp/static/images/task_images/gems/101.jpg,null,,,,,,14,,,2,,,,,101,0.140504067,0.138613861,,,,,,
decision,78,398066,0.0-27.0-5.0,,580.03,run_exp/static/images/task_images/land.jpg,65,,,,,,14,,,2,,,,,,,,39653,1,0,FALSE,,
dig,79,400491,0.0-28.0-0.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":0.27000007685273886},{""stimulus"":""run_exp/static/images/task_images/land.jpg"",""time"":807.7599999960512},{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":1614.475000067614}]",[],2,,,,,,,,,,,,,
harvest,80,401493,0.0-28.0-1.0,,null,run_exp/static/images/task_images/gems/14.jpg,null,,,,,,3,,,2,,,,,14,0.210974195,0.214285714,,,,,,
decision,81,401794,0.0-28.0-2.0,,298.86,run_exp/static/images/task_images/land.jpg,65,,,,,,3,,,2,,,,,,,,43381,1,1,FALSE,,
dig,82,404501,0.0-29.0-0.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":0.28000003658235073},{""stimulus"":""run_exp/static/images/task_images/land.jpg"",""time"":901.8950000172481},{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":1801.534999976866}]",[],2,,,,,,,,,,,,,
harvest,83,405503,0.0-29.0-1.0,,null,run_exp/static/images/task_images/gems/3.jpg,null,,,,,,1,,,2,,,,,3,0.267228369,0.333333333,,,,,,
decision,84,407962,0.0-29.0-2.0,,2456.02,run_exp/static/images/task_images/land.jpg,76,,,,,,1,,,2,,,,,,,,49548,1,2,TRUE,,
travel,85,415512,0.0-30.0-0.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/rocket-01.jpg"",""time"":0.43000001460313797},{""stimulus"":""run_exp/static/images/task_images/rocket-02.jpg"",""time"":839.8749999469146},{""stimulus"":""run_exp/static/images/task_images/rocket-03.jpg"",""time"":1678.7149999290705},{""stimulus"":""run_exp/static/images/task_images/rocket-04.jpg"",""time"":2516.564999939874},{""stimulus"":""run_exp/static/images/task_images/rocket-05.jpg"",""time"":3353.649999946356},{""stimulus"":""run_exp/static/images/task_images/rocket-06.jpg"",""time"":4193.044999963604},{""stimulus"":""run_exp/static/images/task_images/rocket-07.jpg"",""time"":5029.719999991357},{""stimulus"":""run_exp/static/images/task_images/rocket-08.jpg"",""time"":5868.230000021867},{""stimulus"":""run_exp/static/images/task_images/rocket-09.jpg"",""time"":6706.284999963827}]",[],2,,,,,,,,,,,,,
alien_welcome,86,420516,0.0-30.0-1.0,,null,run_exp/static/images/task_images/aliens/old_aliens/planet/alien_planet-2.jpg,null,,,,,,,,,,,,2,"65,24,2,71,1,12,50,39,48,61,54,16,53,64,76,70,3,73,31,28,56,19,69,33,18,20,34",,,,,,,,,
land,87,421020,0.0-30.0-2.0,,null,run_exp/static/images/task_images/land.jpg,null,,,,,,108,,,3,,,,,,,,,,,,,
dig,88,423024,0.0-30.0-3.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":0.3600000636652112},{""stimulus"":""run_exp/static/images/task_images/land.jpg"",""time"":669.385000015609},{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":1336.5500000072643}]",[],3,,,,,,,,,,,,,
harvest,89,424027,0.0-30.0-4.0,,null,run_exp/static/images/task_images/gems/108.jpg,null,,,,,,64,,,3,,,,,108,0.592661602,0.592592593,,,,,,
